Elements,Base value,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,Score
4S,10.5,3,3,2,3,3,3,3,3,3,3,13.5
4T,10.3,3,3,2,3,3,3,3,3,3,3,13.3
3F,5.3,1.6,3,2,3,3,2,2,2,2,2,6.9
FCCoSp4,3.5,1,2,2,2,2,2,2,2,2,1,4.5
StSq3,3.3,1.43,3,2,3,3,3,2,3,3,3,4.73
4S+3T,16.28,2.71,3,1,3,3,2,2,3,3,3,18.99
4T+REP,7.93,-2.06,-1,-2,-2,-2,-2,-1,-2,-2,-1,5.87
3A+1Lo+3S,14.74,2.14,3,1,2,3,2,2,3,2,1,16.88
3Lo,5.61,1.2,3,1,2,2,1,2,2,2,1,6.81
3Lz,6.6,-1.1,-1,-2,-2,-1,-2,-2,-1,-2,-1,5.5
FCSSp4,3,0.93,2,2,2,2,1,1,2,3,2,3.93
ChSq1,2,2,3,2,3,3,3,2,3,3,3,4
CCoSp4,3.5,1.14,3,2,2,3,2,2,3,2,2,4.64
Total,92.56,16.99,,,,,,,,,,109.55
Program components,,Factor,J1,J2,J3,J4,J5,J6,J7,J8,J9,Score
Skating Skills,,2,9.75,9.5,9.75,9.75,9.5,9.75,9.75,9.75,9.75,9.71
Transitions,,2,9.5,9.25,9.75,9.75,9.25,9.5,9.5,9.5,9.5,9.5
Performance/Execution,,2,9.75,9.5,9.75,9.75,9,9.5,9.75,9.75,9.5,9.64
Composition,,2,9.75,9.5,9.75,10,9.5,9.75,9.5,10,9.75,9.71
Interpretation,,2,10,9.5,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75
Total,,,,,,,,,,,,96.62
Deduction,,,,,,,,,,,,0
Program total,,109.55 + 96.62 - 0.00 = 206.17,,,,,,,,,,
Elements,Base value,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,Score
4Lz,13.6,1.14,1,1,1,1,3,1,0,2,1,14.74
3Lo,5.1,0.6,1,1,1,0,1,0,1,1,1,5.7
3F,5.3,1.6,2,3,2,2,3,2,3,2,2,6.9
FCCoSp4,3.5,1,2,2,1,3,2,2,2,2,2,4.5
StSq3,3.3,1.29,3,2,2,3,3,2,3,3,2,4.59
4S,11.55,-0.69,-1,0,0,-1,0,-1,0,-1,-1,10.86
2T,1.43,0.03,0,1,0,0,0,0,0,1,0,1.46
4T+3T,16.06,1.71,2,1,3,1,2,1,2,2,2,17.77
3A+2T,10.78,1.86,2,2,2,1,2,1,2,3,2,12.64
3A,9.35,0.86,1,1,1,1,2,0,1,0,1,10.21
FCSSp4,3,0.57,1,1,1,2,2,1,1,1,1,3.57
ChSq1,2,2.1,3,3,3,3,3,3,2,3,3,4.1
CCoSp4,3.5,1,2,2,2,2,2,1,2,2,2,4.5
Total,88.47,13.07,,,,,,,,,,101.54
Program components,,Factor,J1,J2,J3,J4,J5,J6,J7,J8,J9,Score
Skating Skills,,2,9.75,9.5,9.75,9.25,9.5,9.5,9.5,9.5,9.5,9.54
Transitions,,2,9,9.25,9.25,9,9.25,9.25,9,9.5,9.25,9.18
Performance/Execution,,2,9,9.5,9.5,9.25,9.5,9.5,9.5,9.75,9.25,9.43
Composition,,2,9.5,9.5,9.5,9.25,9.75,9.5,9.5,9.5,9.5,9.5
Interpretation,,2,9,9.5,9.75,9.5,9.75,9.5,9.5,9.75,9.25,9.54
Total,,,,,,,,,,,,94.38
Deduction,,,,,,,,,,,,0
